1 , 387.54 , 215.0 , {'height': 80, 'lives': 0, 'scoreHi': 2, 'scoreLo': 15} , [0.32, 0.35, 0.33]
2 , 797.66 , 295.0 , {'height': 81, 'lives': 0, 'scoreHi': 2, 'scoreLo': 95} , [0.33, 0.34, 0.33]
3 , 514.45 , 110.0 , {'height': 80, 'lives': 0, 'scoreHi': 1, 'scoreLo': 10} , [0.36, 0.32, 0.33]
4 , 183.14 , 180.0 , {'height': 82, 'lives': 0, 'scoreHi': 1, 'scoreLo': 80} , [0.33, 0.33, 0.34]
5 , 344.14 , 120.0 , {'height': 80, 'lives': 0, 'scoreHi': 1, 'scoreLo': 20} , [0.32, 0.33, 0.35]
6 , 267.34 , 120.0 , {'height': 80, 'lives': 0, 'scoreHi': 1, 'scoreLo': 20} , [0.33, 0.35, 0.32]
7 , 504.89 , 315.0 , {'height': 83, 'lives': 0, 'scoreHi': 3, 'scoreLo': 15} , [0.33, 0.33, 0.34]
8 , 418.71 , 220.0 , {'height': 80, 'lives': 0, 'scoreHi': 2, 'scoreLo': 20} , [0.33, 0.33, 0.34]
9 , 790.18 , 505.0 , {'height': 17, 'lives': 0, 'scoreHi': 5, 'scoreLo': 5} , [0.32, 0.33, 0.35]
10 , 373.81 , 120.0 , {'height': 80, 'lives': 0, 'scoreHi': 1, 'scoreLo': 20} , [0.33, 0.31, 0.36]
11 , 445.41 , 240.0 , {'height': 80, 'lives': 0, 'scoreHi': 2, 'scoreLo': 40} , [0.32, 0.35, 0.33]
12 , 204.13 , 65.0 , {'height': 82, 'lives': 0, 'scoreHi': 0, 'scoreLo': 65} , [0.36, 0.33, 0.31]
13 , 400.74 , 380.0 , {'height': 81, 'lives': 0, 'scoreHi': 3, 'scoreLo': 80} , [0.32, 0.33, 0.35]
14 , 424.07 , 210.0 , {'height': 81, 'lives': 0, 'scoreHi': 2, 'scoreLo': 10} , [0.33, 0.31, 0.36]
15 , 211.48 , 105.0 , {'height': 82, 'lives': 0, 'scoreHi': 1, 'scoreLo': 5} , [0.33, 0.31, 0.36]
16 , 421.98 , 210.0 , {'height': 80, 'lives': 0, 'scoreHi': 2, 'scoreLo': 10} , [0.36, 0.33, 0.31]
17 , 456.29 , 225.0 , {'height': 80, 'lives': 0, 'scoreHi': 2, 'scoreLo': 25} , [0.35, 0.31, 0.34]
18 , 593.32 , 355.0 , {'height': 16, 'lives': 0, 'scoreHi': 3, 'scoreLo': 55} , [0.32, 0.34, 0.34]
19 , 399.36 , 210.0 , {'height': 80, 'lives': 0, 'scoreHi': 2, 'scoreLo': 10} , [0.31, 0.38, 0.31]
20 , 454.56 , 180.0 , {'height': 80, 'lives': 0, 'scoreHi': 1, 'scoreLo': 80} , [0.39, 0.28, 0.32]
21 , 272.23 , 95.0 , {'height': 82, 'lives': 0, 'scoreHi': 0, 'scoreLo': 95} , [0.32, 0.38, 0.3]
