End of episode 1    Epsilon: 0.98     Score: 5271.0     Time: 943.6543560028076 seconds
End of episode 2    Epsilon: 0.9603999999999999     Score: 5540.0     Time: 966.1357717514038 seconds
End of episode 3    Epsilon: 0.9411919999999999     Score: 6437.0     Time: 974.4900162220001 seconds
End of episode 4    Epsilon: 0.9223681599999999     Score: 6894.0     Time: 992.85657787323 seconds
End of episode 5    Epsilon: 0.9039207967999998     Score: 6891.0     Time: 952.7437615394592 seconds
End of episode 6    Epsilon: 0.8858423808639998     Score: 6762.0     Time: 948.8682301044464 seconds
End of episode 7    Epsilon: 0.8681255332467198     Score: 7853.0     Time: 951.6277379989624 seconds
End of episode 8    Epsilon: 0.8507630225817854     Score: 7270.0     Time: 959.8842401504517 seconds
End of episode 9    Epsilon: 0.8337477621301497     Score: 8460.0     Time: 964.0726337432861 seconds
End of episode 10    Epsilon: 0.8170728068875467     Score: 8503.0     Time: 970.1061823368073 seconds
End of episode 11    Epsilon: 0.8007313507497957     Score: 8315.0     Time: 984.3893706798553 seconds
End of episode 12    Epsilon: 0.7847167237347998     Score: 8841.0     Time: 982.6200213432312 seconds
End of episode 13    Epsilon: 0.7690223892601038     Score: 7316.0     Time: 985.9709448814392 seconds
End of episode 14    Epsilon: 0.7536419414749017     Score: 7664.0     Time: 984.8423447608948 seconds
End of episode 15    Epsilon: 0.7385691026454037     Score: 9388.0     Time: 991.0506327152252 seconds
End of episode 16    Epsilon: 0.7237977205924956     Score: 9988.0     Time: 999.3601114749908 seconds
End of episode 17    Epsilon: 0.7093217661806457     Score: 9273.0     Time: 998.8686649799347 seconds
End of episode 18    Epsilon: 0.6951353308570327     Score: 10620.0     Time: 1003.9552869796753 seconds
End of episode 19    Epsilon: 0.6812326242398921     Score: 9406.0     Time: 1005.2374527454376 seconds
End of episode 20    Epsilon: 0.6676079717550942     Score: 8554.0     Time: 1009.9327189922333 seconds
End of episode 21    Epsilon: 0.6542558123199923     Score: 9268.0     Time: 1012.0736644268036 seconds
End of episode 22    Epsilon: 0.6411706960735924     Score: 10148.0     Time: 1017.1823060512543 seconds
End of episode 23    Epsilon: 0.6283472821521205     Score: 11159.0     Time: 1024.524964094162 seconds
End of episode 24    Epsilon: 0.6157803365090782     Score: 10493.0     Time: 1062.5033328533173 seconds
End of episode 25    Epsilon: 0.6034647297788965     Score: 10239.0     Time: 1114.045812368393 seconds
End of episode 26    Epsilon: 0.5913954351833186     Score: 10529.0     Time: 1104.8275616168976 seconds
End of episode 27    Epsilon: 0.5795675264796523     Score: 11101.0     Time: 1125.2326571941376 seconds
End of episode 28    Epsilon: 0.5679761759500592     Score: 11273.0     Time: 1129.2264950275421 seconds
End of episode 29    Epsilon: 0.5566166524310581     Score: 10294.0     Time: 1149.2926025390625 seconds
End of episode 30    Epsilon: 0.5454843193824369     Score: 11425.0     Time: 1114.2359533309937 seconds
End of episode 31    Epsilon: 0.5345746329947881     Score: 11893.0     Time: 1093.756496667862 seconds
End of episode 32    Epsilon: 0.5238831403348924     Score: 11487.0     Time: 1092.8020215034485 seconds
End of episode 33    Epsilon: 0.5134054775281945     Score: 11403.0     Time: 1096.159070968628 seconds
End of episode 34    Epsilon: 0.5031373679776306     Score: 11092.0     Time: 1098.9370422363281 seconds
End of episode 35    Epsilon: 0.493074620618078     Score: 10167.0     Time: 1103.1019775867462 seconds
End of episode 36    Epsilon: 0.48321312820571644     Score: 11613.0     Time: 1118.0250172615051 seconds
End of episode 37    Epsilon: 0.4735488656416021     Score: 11529.0     Time: 1135.523585319519 seconds
End of episode 38    Epsilon: 0.46407788832877006     Score: 12161.0     Time: 1141.4872364997864 seconds
End of episode 39    Epsilon: 0.45479633056219465     Score: 11184.0     Time: 1134.8077342510223 seconds
End of episode 40    Epsilon: 0.44570040395095073     Score: 11592.0     Time: 1147.4723958969116 seconds
End of episode 41    Epsilon: 0.4367863958719317     Score: 11564.0     Time: 1162.0392158031464 seconds
End of episode 42    Epsilon: 0.42805066795449304     Score: 11745.0     Time: 1211.2392165660858 seconds
End of episode 43    Epsilon: 0.41948965459540316     Score: 13013.0     Time: 1199.1834461688995 seconds
